NestID,Year,Date.Found,Date.Finish,Fate,Study.Area,UTM Zone,UTM E,UTM N,Per.Bare.Ground,Mean.Robel
32_2017,2017,19,28,Success,West,12,300484,4415655,40,2
33_2017,2017,19,22,Success,West,12,300568,4415393,10,2
34_2017,2017,19,20,Success,West,12,300945,4416881,40,2
35_2017,2017,23,31,Gull,GSL,12,405368,4548883,90,1
36_2017,2017,23,27,Raven,GSL,12,400323,4512001,80,2
37_2017,2017,23,30,Raven,GSL,12,400018,4512098,60,1.333333333
38_2017,2017,24,44,Fox,West,12,293949,4421901,10,2
39_2017,2017,25,33,Gull,GSL,11,752410,4490703,60,3
40_2017,2017,25,43,Success,West,12,403766,4549170,60,1.333333333
41_2017,2017,26,28,Raven,West,12,249239,4491632,50,3.333333333
42_2017,2017,26,47,Success,West,12,290606,4421967,50,2.666666667
43_2017,2017,26,36,Success,West,12,300185,4412703,10,2.333333333
44_2017,2017,26,29,Success,West,12,300373,4413381,60,2.666666667
45_2017,2017,27,31,Gull,GSL,11,752814,4492214,40,2
46_2017,2017,27,34,Gull,GSL,12,405102,4548957,100,1
47_2017,2017,27,30,Raven,GSL,12,404868,4548778,90,1
48_2017,2017,27,36,Raven,GSL,12,399981,4512343,50,2
49_2017,2017,27,43,Success,West,12,400106,4512030,50,2
50_2017,2017,28,45,Fox,West,12,299707,4412715,20,2.333333333
51_2017,2017,28,39,Fox,West,12,300026,4412491,10,2.666666667
52_2017,2017,28,31,Success,West,12,290944,4421626,20,3.666666667
53_2017,2017,30,47,Success,GSL,12,400461,4512385,70,2.666666667
54_2017,2017,31,39,Fox,West,12,293659,4422943,20,1.666666667
55_2017,2017,31,41,Gull,GSL,12,300594,4419315,30,3
56_2017,2017,31,51,Success,West,12,404699,4548798,50,1.666666667
57_2017,2017,32,40,Success,West,12,301395,4418288,100,0
